Title,Location,Price,Area,Number of rooms
Apartment Maaskade 102 A1,3071 NG Rotterdam (Noordereiland),"€1,350",76 m²,2
Apartment Plotterweg,3821 BB Amersfoort (Hoefkwartier),€800,50 m²,2
Apartment Gevers Deynootweg,2586 BV Den Haag (Belgisch Park),"€2,950",110 m²,4
Apartment Gustav Mahlerlaan 545 C,1082 MK Amsterdam (Zuidas),"€2,650",110 m²,2
Apartment Stadsring,3811 HM Amersfoort (Smallepad e.o.),€728,30 m²,1
Studio Zaanweg,1521 DH Wormerveer (Wormerveer Zuid),"€1,450",60 m²,1
Studio Zaanweg,1521 DH Wormerveer (Wormerveer Zuid),"€1,295",52 m²,1
Apartment Hezingenbrink 25 3,7544 HG Enschede (Wesselerbrink Noord-Oost),€500,25 m²,1
House Nieuwstraat,7311 HZ Apeldoorn (Binnenstad),"€1,100",83 m²,3
Apartment Amsterdamsestraatweg 535,3553 EE Utrecht (Julianapark en omgeving),"€1,835",118 m²,5
House Deurningerstraat,7557 HE Hengelo (Hengelose Es-Noord),€925,97 m²,4
Apartment Karperweg 9 II,1075 LA Amsterdam (Schinkelbuurt),"€2,500",81 m²,2
Studio Berlijnplein,3541 CM Utrecht (Leidsche Rijn-Centrum),€633,30 m²,1
House Jaagpad,1059 BN Amsterdam (Hoofddorppleinbuurt),"€3,600",160 m²,3
Apartment Schoolstraat,6828 GT Arnhem (Spijkerbuurt),€418,25 m²,1
Apartment Korreweg,9714 AG Groningen (Professorenbuurt),Price ,94 m²,4
Apartment Stationsplein,8331 GM Steenwijk (Torenlanden),€650,43 m²,2
House Paulus Potterstraat,3583 SN Utrecht (Schildersbuurt),"€2,395",138 m²,6
Apartment Jac Thijssedomein,6229 EA Maastricht (Randwyck),€912,30 m²,2
Apartment Geuzenstraat 60 1,1056 KG Amsterdam (Geuzenbuurt),"€1,750",53 m²,3
Apartment Schiedamseweg,3026 AH Rotterdam (Tussendijken),€900,35 m²,2
Apartment Ewoudt van der Dussenlaan,2273 HP Voorburg (Bovenveen noord),"€1,096",70 m²,3
Apartment Asmansweg 84,2571 BK Den Haag (Rond de Energiecentrale),"€1,085",88 m²,3
Apartment Paradeplaats,4611 VX Bergen op Zoom (Centrum),"€1,125",130 m²,3
Apartment Blois van Treslongstraat 17,2581 VV Den Haag (Geuzenkwartier),"€2,250",120 m²,5
Apartment Bakkerstraat,6811 EG Arnhem (Weverstraat),€850,60 m²,2
Apartment Cornelis Houtmanstraat 32,2593 RH Den Haag (Bezuidenhout-Oost),"€1,495",67 m²,3
House Zicht,9932 BM Delfzijl (Tuikwerd),"€1,500",110 m²,5
House Graaf Willemlaan 29,1181 EE Amstelveen (Randwijck West),"€3,000",185 m²,6
Apartment Johan de Wittlaan,6828 XH Arnhem (Statenkwartier),"€1,250",121 m²,3
Apartment Beekmanstraat,3313 CB Dordrecht (Beekmanstraat en omgeving),€915,42 m²,2
Apartment Amendijk,3829 DS Hooglanderveen (Hoekveen e.o.),€895,66 m²,2
Apartment Stadsring,3811 HM Amersfoort (Smallepad e.o.),"€1,150",61 m²,2
Apartment Abraham Kuyperlaan,3038 PN Rotterdam (Bergpolder),"€1,095",80 m²,3
Apartment Chabotlaan,3055 AG Rotterdam (Molenlaankwartier),"€1,600",83 m²,3
Apartment Brouwersgracht,2512 ER Den Haag (Zuidwal),"€1,250",50 m²,2
Apartment Kerkstraat,1441 BL Purmerend (Binnenstad),"€1,350",75 m²,3
Apartment Middenweg 113 A3,1098 AJ Amsterdam (Middenmeer),"€1,850",77 m²,3
Apartment Van Speijkstraat 2 12,"3572 XC Utrecht (Zeeheldenbuurt, Hengeveldstraat en omgeving)",€725,25 m²,1
House De Vogelweide,7609 AC Almelo (Kanaalzijde),€950,110 m²,5
House Erve Wolbert,7577 NS Oldenzaal (De Graven Es),"€1,095",115 m²,5
House Denekamperstraat,7577 PB Oldenzaal (Bekspring),"€1,395",159 m²,5
House Graaf Janstraat 2,1941 KG Beverwijk (Meerplein),"€1,225",55 m²,2
Apartment Tuigerstraat,1033 PH Amsterdam (Tuindorp Oostzaan),"€1,400",44 m²,3
Apartment Noorderhavenkade 56 B03,3038 XK Rotterdam (Bergpolder),"€1,750",80 m²,2
Apartment Witte de Withstraat,2518 CR Den Haag (Zeeheldenkwartier),"€1,250",83 m²,3
House Parcivalring,5221 LA Den Bosch (De Haverleij),"€1,600",180 m²,7
Apartment Danckertsstraat,2517 TJ Den Haag (Stadhoudersplantsoen),"€1,150",65 m²,3
Apartment Volderhof,5611 AK Eindhoven (Binnenstad),"€1,250",50 m²,3
Apartment Jan van Galenstraat 173 3,1056 BS Amsterdam (Van Galenbuurt),"€2,500",85 m²,6
House Käthe Kollwitzstraat,1183 BW Amstelveen (Heldenbuurt),"€2,975",135 m²,5
House Top Naefflaan,1183 BP Amstelveen (Heldenbuurt),"€2,500",114 m²,4
Apartment Nieuwe Binnenweg,3014 GD Rotterdam (Oude Westen),"€1,595",85 m²,2
Room Mathenesserweg,3027 HG Rotterdam (Spangen),€550,18 m²,1
Apartment Kanaalpark,2321 JW Leiden (Cronestein),"€1,245",50 m²,2
Apartment Noordeinde,2311 CD Leiden (Academiewijk),"€1,295",75 m²,2
House Alexandrine Tinnehof,1087 CM Amsterdam (IJburg West),"€2,750",130 m²,5
Apartment Van der Wyckstraat,2593 XA Den Haag (Bezuidenhout-Oost),"€1,250",95 m²,3
Apartment Elandsgracht 132 C,1016 VB Amsterdam (Jordaan),"€2,200",79 m²,3
House Hornweg,1432 GN Aalsmeer (Greenpark),"€1,750",93 m²,3
Apartment Médoclaan,6213 EG Maastricht (Wolder),"€1,395",82 m²,3
House Broekzijdselaan 11,1391 XL Abcoude (Abcoude-Noordoost),"€1,995",112 m²,5
Apartment Zomertaling 47,6601 DW Wijchen (Wijchen Noord),"€1,160",76 m²,2
Room Koning Clovisstraat 71 B-2.3,6226 AG Maastricht (Wittevrouwenveld),€385,11 m²,1
House Galileïstraat,2561 TK Den Haag (Valkenboskwartier),"€3,500",252 m²,9
Apartment Govert Flinckstraat,8932 KN Leeuwarden (Gerard Dou),€695,35 m²,2
Apartment Adriaanstraat 28 B,3581 SG Utrecht (Buiten Wittevrouwen),€845,28 m²,1
Apartment Havenstraat,6211 GJ Maastricht (Binnenstad),"€1,400",75 m²,3
Apartment S.L. Louwesstraat 163,7545 EV Enschede (Stevenfenne),€950,60 m²,3
Apartment Kerkstraat 38,1191 JD Ouderkerk aan de Amstel (Ouderkerk aan de Amstel),"€1,725",65 m²,2
Apartment Breestraat 57 B,2311 CJ Leiden (Pieterswijk),"€1,620",88 m²,3
House Haspengouw,6227 RN Maastricht (Heer),€534,17 m²,2
Apartment Prinsegracht 39 C .,2512 EW Den Haag (Kortenbos),"€1,300",95 m²,3
House Burgemeester van Hooffln,5503 BP Veldhoven (D'Ekker),"€1,350",100 m²,4
Studio Sint Jacobstraat,6211 LB Maastricht (Binnenstad),"€1,325",45 m²,3
Apartment Sint Jacobstraat,6211 LB Maastricht (Binnenstad),"€1,325",48 m²,2
Apartment Noorderhavenkade 56 B03,3038 XK Rotterdam (Bergpolder),"€1,750",80 m²,2
Apartment Porporastraat,8031 HS Zwolle (Holtenbroek II),"€1,090",55 m²,2
Apartment Maasstraat,3313 GJ Dordrecht (Amerstraat en omgeving),€850,15 m²,2
Apartment Haagplein,2311 AG Leiden (Vreewijk),"€1,195",40 m²,2
Apartment Nieuwe Ebbingestraat,9712 NG Groningen (Hortusbuurt-Ebbingekwartier),€915,32 m²,2
Apartment Tarwekamp,2592 XK Den Haag (Kampen),"€1,250",97 m²,3
House Voltaweg,4816 CE Breda (Doornbos-Linie),"€1,425",175 m²,5
Apartment Tweede Hunzestraat 16,9715 BR Groningen (Indische buurt),€905,45 m²,2
House Geuzenweg,1221 BR Hilversum (Geuzenbuurt),"€1,425",86 m²,3
House Beversingel,4105 VL Culemborg (Goilberdingen West),"€1,900",193 m²,7
Apartment Adriaan Dortsmanstraat,3067 NA Rotterdam (Het Lage Land),"€1,350",88 m²,3
House Piet Wiedijkstraat,1068 NW Amsterdam (Osdorp-Oost),"€1,750",79 m²,5
Apartment Lombardkade,3011 ZA Rotterdam (Stadsdriehoek),"€2,450",101 m²,3
Apartment Livingstonelaan 1162,3526 JT Utrecht (Kanaleneiland-Zuid),"€1,650",107 m²,3
Apartment Hoogstraat,3131 BB Vlaardingen (Centrum),"€1,300",61 m²,2
Apartment Hoogstraat,3131 BB Vlaardingen (Centrum),"€1,300",50 m²,2
Apartment Meander 39,1181 WN Amstelveen (Stadshart),"€2,125",110 m²,3
Apartment Weaze,8911 LL Leeuwarden (De Waag),€525,25 m²,1
House Dr. J.M. den Uylstraat,4207 NK Gorinchem (Laag Dalem II),"€1,005",110 m²,6
Apartment Beekstraat 77 20,6811 DX Arnhem (Markt),€930,55 m²,2
Apartment Nieuwenhoornstraat 120 A,3082 VM Rotterdam (Oud Charlois),"€1,095",58 m²,3
Studio Duivelshoek,4811 GJ Breda (Valkenberg),€612,24 m²,1
House Boetsstraat,8608 AZ Sneek (Lemmerweg-West),€875,121 m²,5
Apartment Teltinghof,3053 AP Rotterdam (Schiebroek),"€1,250",88 m²,3
Room Statensingel 173 2,6211 PP Maastricht (Statenkwartier),€616,32 m²,1
Apartment Havendwarsstraat 1 8,1211 LC Hilversum (Havenstraatbuurt),€675,23 m²,1
Apartment Rabenhauptstraat,9725 CG Groningen (Rivierenbuurt),"€1,295",70 m²,2
Apartment Vijzelstraat,2584 GN Den Haag (Visserijbuurt),€895,30 m²,2
House Mergelweg,6212 NJ Maastricht (Sint Pieter),€295,8 m²,1
Apartment Wycker Grachtstraat,6221 CT Maastricht (Wyck),"€1,495",95 m²,4
Apartment Snip,2171 KT Sassenheim (Vliegeniersbuurt),"€1,250",67 m²,3
Apartment Vrijheer van Eslaan,3353 TE Papendrecht (Kraaihoek),€895,75 m²,3
Apartment Goudsewagenstraat,3011 RK Rotterdam (Stadsdriehoek),"€1,275",40 m²,2
Apartment Admiraal De Ruijterweg,1056 GM Amsterdam (Geuzenbuurt),"€1,800",77 m²,3
House Spoorsingel,3033 GL Rotterdam (Provenierswijk),"€1,895",163 m²,4
Apartment Voorwaartsveld 29,4142 DB Leerdam (Staatsliedenbuurt),€835,64 m²,3
House Versantvoortstraat,5615 AR Eindhoven (Bloemenplein),"€1,795",137 m²,7
Apartment Molenstraat,4701 JT Roosendaal (Centrum-Oud),€725,60 m²,1
Studio Bovenstraat,3077 BC Rotterdam (Oud IJsselmonde),€700,26 m²,1
Apartment Westeinde 199 C,2512 GZ Den Haag (Kortenbos),"€1,250",65 m²,3
House Fossielenerf 632,6413 MN Heerlen (Groot Rennemig),"€1,200",142 m²,5
Apartment Heindijk,3079 PM Rotterdam (Groot IJsselmonde),"€1,500",82 m²,4
Apartment Prinsegracht,2512 GA Den Haag (Zuidwal),"€1,850",83 m²,2
Apartment Archimedesstraat,2517 RW Den Haag (Sweelinckplein en omgeving),"€2,450",140 m²,6
House Peperstraat 4,6127 AS Grevenbicht (Grevenbicht),€899,150 m²,4
Apartment Hermelijnvlinder 149,1113 LD Diemen (Vlindertuin),"€2,250",100 m²,3
Apartment Logger,1186 RT Amstelveen (Punterbuurt),"€1,750",90 m²,3
House Belle van Zuylenlaan,1902 PL Castricum (Albert's Hoeve),"€1,495",108 m²,4
House Koningin Wilhelminalaan,2252 GM Voorschoten (Nassauwijk),"€1,595",126 m²,6
Apartment Bergstraat,5611 JZ Eindhoven (Bergen),"€1,500",85 m²,2
House Keizer Ottoweg 12,1412 EE Naarden (Ministerpark),"€3,250",163 m²,6
Studio Brusselsestraat 125 D02,6211 PD Maastricht (Statenkwartier),€654,22 m²,1
Apartment Karel Doormanstraat,3012 GD Rotterdam (Cool),"€1,550",74 m²,3
Apartment Van Hogendorpstraat,1051 BL Amsterdam (Staatsliedenbuurt),"€1,950",69 m²,3
Apartment Heerder Groenweg 22 A2,6224 JM Maastricht (Scharn),€575,28 m²,1
House Tuinstraat 224 Hs,1015 PK Amsterdam (Jordaan),"€3,500",145 m²,5
Apartment Trompenburgstraat,1079 TM Amsterdam (Rijnbuurt),"€1,600",55 m²,3
Apartment Hoog Maanen,6717 HZ Ede (Reehorst),"€1,295",77 m²,3
Apartment Nieuwe Emmasingel 79 G,5611 AM Eindhoven (Binnenstad),"€1,150",52 m²,2
House Julianastraat 28,2316 NZ Leiden (Noorderkwartier),"€1,350",75 m²,3
Apartment Havendwarsstraat,1211 LD Hilversum (Havenstraatbuurt),€895,42 m²,2
Room Westzeedijk 108,3016 AH Rotterdam (Nieuwe Werk),€550,14 m²,1
Apartment Smallepad,3811 MG Amersfoort (Smallepad e.o.),€728,28 m²,1
Room Usselincxstraat,2593 VJ Den Haag (Bezuidenhout-Oost),€500,10 m²,1
Apartment Noorderhavenkade 56 B03,3038 XK Rotterdam (Bergpolder),"€1,750",80 m²,2
Apartment Porporastraat,8031 HS Zwolle (Holtenbroek II),"€1,090",55 m²,2
Apartment Paul Krugerlaan,2571 HD Den Haag (Transvaalkwartier-Noord),€875,25 m²,1
Apartment Rembrandtstraat,8921 EH Leeuwarden (Welgelegen),€650,40 m²,2
Apartment Valeriusstraat,8915 AC Leeuwarden (Valeriuskwartier),€865,85 m²,4
Apartment Terweeweg 88 A,2341 CV Oegstgeest (Oranje Nassau),"€1,550",102 m²,4
Apartment Herculeslaan 62,3584 AB Utrecht (Galgenwaard en omgeving),"€2,100",126 m²,3
Room Klarendalseweg,6822 GH Arnhem (Klarendal-Noord),€500,32 m²,1
Apartment Augustalaan,4615 HP Bergen op Zoom (Zeekant),"€1,150",102 m²,3
House Cannerweg,6213 BJ Maastricht (Biesland),"€1,600",105 m²,3
House Kees de Beverpad,5622 DZ Eindhoven (Kronehoef),"€2,200",116 m²,7
Apartment Midscheeps 10,1186 VK Amstelveen (Galjoenbuurt),"€2,800",180 m²,2
Apartment Gedempte Oude Gracht 15,2011 GK Haarlem (Binnenstad),"€1,585",70 m²,2
Apartment Singel 125 F,1012 VH Amsterdam (Burgwallen-Nieuwe Zijde),"€1,375",33 m²,2
House Kannenburg,7423 AK Deventer (Het Oostrik),"€1,195",118 m²,6
Apartment Pieterskerk-Choorsteeg,2311 TR Leiden (Pieterswijk),"€1,300",56 m²,2
Apartment De Ruijterstraat 64 A,2518 AV Den Haag (Zeeheldenkwartier),"€2,000",100 m²,3
Apartment van Barbansonstraat 26,2274 SN Voorburg (Voorburg Noord zuid),"€1,500",80 m²,2
House De Bouwing,6661 EX Elst (de Kist),"€1,650",104 m²,6
Apartment Van Eysingalaan,3527 VK Utrecht (Transwijk-Noord),"€1,450",75 m²,3
Room Spruytstraat,3081 XG Rotterdam (Tarwewijk),€795,20 m²,1
House Frederik van Eedenstraat,3351 SM Papendrecht (Westpolder),"€1,750",178 m²,6
House Brederodestraat,2042 BE Zandvoort (Brederode- Gerkestraat e.o.),"€1,950",110 m²,4
Apartment Jan de Jonghkade,1063 MH Amsterdam (Slotermeer-Noordoost),"€2,250",95 m²,3
Apartment Tweede Morgen,5233 NG Den Bosch (De Rompert),"€1,250",75 m²,3
Apartment Van Houweningenstraat,1052 TN Amsterdam (Frederik Hendrikbuurt),"€1,790",45 m²,2
Apartment Slaghekstraat 60 C01,3074 LN Rotterdam (Hillesluis),"€1,250",73 m²,3
Apartment Kromme-Mijdrechtstraat,1079 KV Amsterdam (Rijnbuurt),"€2,000",70 m²,3
Apartment Stadsring,3811 HM Amersfoort (Smallepad e.o.),"€1,050",48 m²,2
Apartment Frederik Hendriklaan,2582 BK Den Haag (Statenkwartier),"€1,095",50 m²,2
Apartment Calvariestraat,6211 NJ Maastricht (Kommelkwartier),"€1,350",105 m²,4
Studio Zeelsterstraat,5652 EL Eindhoven (Het Ven),€900,32 m²,1
Apartment Witte de Withstraat,2518 CR Den Haag (Zeeheldenkwartier),"€1,250",83 m²,3
Apartment Noorderhavenkade 56 B03,3038 XK Rotterdam (Bergpolder),"€1,750",80 m²,2
Apartment Voorstraat,3512 AR Utrecht (Breedstraat en Plompetorengracht en omgeving),€845,18 m²,1
Apartment Noordeinde,2514 GP Den Haag (Voorhout),"€2,300",110 m²,4
Apartment Statenweg 172 A,3039 JR Rotterdam (Blijdorp),"€1,750",120 m²,4
Apartment Schubertsingel,5216 XA Den Bosch (Zuid),€985,54 m²,1
House Nieuwezijds Voorburgwal,1012 RV Amsterdam (Burgwallen-Nieuwe Zijde),"€2,700",90 m²,4
Apartment Soestdijksekade 407,2574 BA Den Haag (Leyenburg),€945,39 m²,2
Apartment Keizersgracht 702 E,1017 EV Amsterdam (Grachtengordel-Zuid),"€2,750",85 m²,3
Apartment Karel Doormanstraat,3012 GH Rotterdam (Cool),"€1,100",50 m²,2
Apartment Veembroederhof,1019 HC Amsterdam (Oostelijk Havengebied),"€2,500",92 m²,3
Apartment Berkelselaan,3038 NA Rotterdam (Bergpolder),"€1,795",98 m²,4
House Graaf Florisstraat 2,2274 SV Voorburg (Voorburg Noord zuid),"€2,000",126 m²,5
Apartment Van Speijkstraat 135 I,1057 GV Amsterdam (Chassébuurt),"€2,000",71 m²,3
Studio Nieuwe Emmasingel,5611 AM Eindhoven (Binnenstad),"€1,325",39 m²,1
Apartment Spruytstraat,3081 XG Rotterdam (Tarwewijk),€845,35 m²,2
Studio Verboomstraat,3082 JN Rotterdam (Oud Charlois),€725,20 m²,1
Apartment Delftsevaart,3011 HL Rotterdam (Stadsdriehoek),"€1,600",57 m²,2
Apartment Het Hout,9723 LB Groningen (Kop van Oost),€934,40 m²,2
Apartment Hoofdstraat,2202 ES Noordwijk (Kern Zee),"€1,300",72 m²,3
Apartment Nieuweweg,2182 BP Hillegom (Buitengebied),"€1,110",65 m²,2
Apartment Mathenesserdijk 381 A,3026 GE Rotterdam (Tussendijken),"€1,300",109 m²,4
Studio Marsweg,3893 GA Zeewolde (Derde woonwijk),€602,26 m²,1
House Saltshof,6604 GK Wijchen (Saltshof),"€1,450",165 m²,5
House Kroonlaan,1217 AX Hilversum (Trompenberg-Noord),"€1,450",58 m²,2
Apartment Galileïstraat,2561 TB Den Haag (Koningsplein en omgeving),"€2,750",190 m²,6
Apartment Thorbeckestraat 20,6702 BR Wageningen (Nude-buurt),"€1,195",78 m²,5
Apartment Marterlaan 12,3734 HA Den Dolder (Den Dolder-Zuid),"€1,095",65 m²,3
Apartment Hermannus Elconiusstraat 6,3553 VD Utrecht (Julianapark en omgeving),"€1,150",52 m²,2
Apartment Amsterdamsestraatweg 929 1AZ,3555 HP Utrecht (Zuilen-Noord),€895,35 m²,2
Apartment Palmstraat,1015 HT Amsterdam (Jordaan),"€2,000",72 m²,3
House Bergse Linker Rottekade 293,3056 LJ Rotterdam (Terbregge),"€1,695",120 m²,5
Apartment Porporastraat,8031 HS Zwolle (Holtenbroek II),"€1,090",55 m²,2
Apartment Noorderhavenkade 56 B03,3038 XK Rotterdam (Bergpolder),"€1,750",80 m²,2
Apartment Aronskelkweg 268,2555 GV Den Haag (Bohemen en Meer en Bos),"€1,750",85 m²,4
House Magalhaesstraat,5665 GZ Geldrop (Coevering),"€1,350",57 m²,3
House Merelstraat,1223 NV Hilversum (Liebergen),"€1,700",90 m²,3
Apartment Sibemaweg,6224 DA Maastricht (Scharn),"€1,595",124 m²,4
Apartment F.C. Dondersstraat,"3572 JE Utrecht (Zeeheldenbuurt, Hengeveldstraat en omgeving)","€1,750",80 m²,2
Apartment Wittevrouwensingel,3572 CA Utrecht (Wittevrouwen),"€1,975",77 m²,3
Apartment Anne Frankstraat,5912 HJ Venlo (Hagerhof-West),"€1,035",111 m²,4
House Snijdersstraat,5914 NB Venlo ('t Zand),"€1,200",110 m²,5
Apartment Voorhaven 30 A,3024 RN Rotterdam (Delfshaven),"€1,965",140 m²,4
Apartment Palairetstraat 4,2273 CK Voorburg (Voorburg Midden midden),"€1,500",75 m²,4
House Anthony van Lalainglaan,4101 HS Culemborg (Bloemen/Oranjebuurt),"€1,450",125 m²,5
Apartment Segbroeklaan 512,2565 DH Den Haag (Bloemenbuurt-Oost),"€1,395",110 m²,5
House Jonkheer Ruysstraat,6221 VV Maastricht (Heugemerveld),"€2,250",130 m²,5
House Kroosmeent 7,1218 BA Hilversum (Hilversumse Meent),"€1,950",130 m²,5
Apartment Putstraat 18,6131 HL Sittard (Sittard-Centrum),€595,35 m²,1
Apartment Putstraat 18 H,6131 HL Sittard (Sittard-Centrum),€605,29 m²,2
Apartment Jesuitenstraat 5,6041 ED Roermond (Binnenstad),"€1,200",117 m²,5
Room Brandenburgerweg,6214 AJ Maastricht (Mariaberg),€337,13 m²,2
Apartment Griseldestraat,1055 AZ Amsterdam (Erasmuspark),"€1,850",65 m²,3
Room Gerrit Rietveldsingel,1112 ZB Diemen (Holland Park),€845,25 m²,1
House Malberg,3453 PA De Meern (Veldhuizen),"€1,650",90 m²,3
House Herenweg 187,2106 MH Heemstede (Zandvoortselaan en Berkenrode en omgeving),"€4,250",182 m²,6
House Witkopeend 8,1423 SN Uithoorn (Meerwijk),"€1,850",104 m²,6
Apartment Hoefstraat,2311 PT Leiden (Levendaal-West),"€1,250",65 m²,2
Apartment Kazernestraat,2514 CS Den Haag (Voorhout),"€1,250",78 m²,2
Apartment Schuitengat 101,2042 TL Zandvoort (Boulevard Midden),"€1,850",66 m²,1
Apartment Vasalisstraat 2,1321 PA Almere (Literatuurwijk),"€1,175",55 m²,2
Apartment Selde Rust 25 26,1181 MJ Amstelveen (Vredeveldbuurt),"€1,850",75 m²,3
Apartment Witte de Withstraat 160 2,1057 ZK Amsterdam (Chassébuurt),"€1,750",56 m²,3
Studio Houtduif,4872 MH Etten-Leur (Het Hooghuis),€760,32 m²,1
Apartment Witte de Withstraat,2518 CR Den Haag (Zeeheldenkwartier),"€1,250",83 m²,3
Apartment Goudsewagenstraat,3011 RK Rotterdam (Stadsdriehoek),"€1,275",40 m²,2
Apartment Treublaan,3818 XA Amersfoort (Staatsliedenbuurt-West),"€1,250",100 m²,4
Apartment Catharijnesingel,3511 GK Utrecht (Hooch Boulandt),"€1,400",78 m²,2
Apartment Sluisstraat,5666 AM Geldrop (Braakhuizen-Zuid),"€1,350",70 m²,3
Apartment Nolensstraat,3039 PN Rotterdam (Blijdorp),"€1,495",95 m²,3
House Landvoogdstraat,6411 XA Heerlen (Eikenderveld),€850,72 m²,3
Apartment Lippe Biesterfeldstraat 25 4,6824 LK Arnhem (Angerenstein),"€1,250",88 m²,4
Apartment Raamsteeg 95,2311 PM Leiden (Levendaal-West),"€1,425",70 m²,3
Apartment Lovensestraat,5014 DM Tilburg (Loven Noord),€760,40 m²,2
House Wethouder van Caldenborghlaan,6226 BR Maastricht (Scharn),"€1,950",136 m²,5
Studio Op de Locht,6241 NS Bunde (Kasen),€990,35 m²,1
Room Rechtstraat,6221 EG Maastricht (Wyck),€635,15 m²,1
Apartment Bisschopsmolengang,6211 HZ Maastricht (Jekerkwartier),"€1,295",80 m²,2
Apartment Via Regia,6216 BV Maastricht (Brusselsepoort),"€1,095",80 m²,3
Apartment Ireneweg,6223 AW Maastricht (Borgharen),€830,60 m²,2
Apartment Schoenerstraat,5017 AS Tilburg (Hoogvenne West),"€1,200",56 m²,2
Apartment Roland Holstlaan 874,2624 JJ Delft (Roland Holstbuurt),"€1,250",74 m²,3
Apartment Arthur van Schendelplein 172,2624 CX Delft (Voorhof-Hoogbouw),"€1,045",94 m²,4
Apartment Brabantse Turfmarkt 66 I,2611 CP Delft (Centrum),"€1,075",65 m²,2
Apartment Emmaplein 17,3112 DC Schiedam (Natuurkundigenbuurt),"€1,400",68 m²,2
Apartment Hoogstraat,5241 CT Rosmalen (Rosmalen-Centrum),€925,57 m²,2
Apartment Tweede van Swindenstraat 178 B,1093 XA Amsterdam (Dapperbuurt),"€2,050",90 m²,3
Apartment Ruysdaelstraat 48 E,1071 XE Amsterdam (Museumkwartier),"€2,900",93 m²,3
Apartment Houtrakgracht,3544 SB Utrecht (Langerak),"€1,075",40 m²,2
Apartment Adriaan van Bergenstraat,3554 VE Utrecht (Schaakbuurt en omgeving),"€1,625",85 m²,3
Apartment Barteljorisstraat,2011 RB Haarlem (Binnenstad),"€1,395",54 m²,2
Apartment Rubensstraat 64 III,1077 MX Amsterdam (Apollobuurt),"€3,650",126 m²,5
Apartment Rijksweg Noord 1 c6,6131 CH Sittard (Sittard-Centrum),€685,55 m²,1
House Minahassastraat,"3531 KW Utrecht (Laan van Nieuw-Guinea, Spinozaweg e.o.)","€1,370",60 m²,3
Apartment Rustenburgstraat 5 C,7311 JA Apeldoorn (Binnenstad),€690,46 m²,1
Apartment Ir. Lelystraat 148,6419 XV Heerlen (Welten-Dorp),€950,90 m²,3
Apartment Porporastraat,8031 HS Zwolle (Holtenbroek II),"€1,090",55 m²,2
Apartment Admiraal De Ruijterweg,1056 GM Amsterdam (Geuzenbuurt),"€1,800",77 m²,3
Apartment Hendrik van Deventerstraat 22 A,2563 XT Den Haag (Valkenboskwartier),€950,56 m²,2
Apartment Ir. Lelystraat 122,6419 XT Heerlen (Welten-Dorp),€990,90 m²,3
Apartment Raam,3111 PL Schiedam (Brandersbuurt),€995,70 m²,3
Apartment Burgemeester van Fenemaplein,2042 TC Zandvoort (Boulevard Midden),"€1,550",100 m²,3
Apartment Lange Poten,2511 CM Den Haag (Uilebomen),"€1,150",45 m²,2
Apartment Westeinde,2512 GX Den Haag (Kortenbos),"€1,250",75 m²,2
Apartment Galantstraat 57,"1103 SH Amsterdam (Bijlmer Oost (E,G,K))","€2,100",89 m²,3
Apartment Vondellaan,9721 LL Groningen (De Wijert),€925,72 m²,3
Apartment Kleine Gracht,6211 CB Maastricht (Boschstraatkwartier),"€1,200",61 m²,1
Apartment Haarlemmermeerstraat 50 3,1058 KB Amsterdam (Hoofddorppleinbuurt),"€2,750",106 m²,4
Apartment Zijvend,1472 GE Middelie (Middelie),"€1,550",120 m²,3
Apartment Oudegracht,3511 NL Utrecht (Springweg en omgeving Geertebuurt),"€1,395",55 m²,3
Apartment Zuider-Kerkstraat,3421 AL Oudewater (Kern Oudewater),€750,46 m²,2
Apartment Kromme Nieuwegracht,3512 HD Utrecht (Nieuwegracht-Oost),"€1,725",72 m²,2
Apartment Goeman Borgesiuslaan,9722 RD Groningen (Villabuurt),"€1,063",100 m²,3
Apartment Vlaardingerdijk 65 A,3117 ED Schiedam (Fabribuurt),"€1,050",49 m²,2
House Lepelblad,1452 VN Ilpendam (Ilpendam),"€1,950",133 m²,4
Apartment Adelheidstraat 18,2595 ED Den Haag (Bezuidenhout-Midden),"€1,850",135 m²,4
Apartment Tweede Emmastraat,7513 CX Enschede (Horstlanden-Stadsweide),"€1,200",70 m²,3
Apartment Haarlemmerstraat,2312 DT Leiden (Marewijk),"€1,295",62 m²,2
Apartment Coremolen,2211 BM Noordwijkerhout (Noordwijkerhout Centrum),"€1,150",72 m²,2
Apartment Marepoortkade,2312 MP Leiden (Molenbuurt),"€1,400",75 m²,3
Studio Boergoensestraat 37 D,3082 KB Rotterdam (Oud Charlois),€725,30 m²,1
Apartment Bilderdijkkade 54 E,1053 VN Amsterdam (Kinkerbuurt),"€3,500",102 m²,3
Studio Passerelstraat 42 A,3023 ZD Rotterdam (Nieuwe Westen),€595,20 m²,1
House Voltastraat,1171 BP Badhoevedorp (Badhoevedorp Bouwlust),"€2,150",137 m²,5
House Koningin Wilhelminalaan 66,2274 AL Voorburg (Voorburg Noord zuid),"€2,450",145 m²,5
House Louis Naarstigstraat,1063 EN Amsterdam (Slotermeer-Noordoost),"€1,900",88 m²,4
Apartment Waldorpstraat 1116,2521 CX Den Haag (Laakhaven-West),€640,33 m²,1
Apartment Cartesiusstraat 95,2562 SE Den Haag (Valkenboskwartier),"€1,200",80 m²,3
