Title,Location,Price,Area m�,Number of rooms,Price/m�
Apartment Akerstraat-Noord 304 B,6431 HW Hoensbroek (De Dem en omgeving),760,64,3,11.9
Apartment Vughterstraat,5211 GD Den Bosch (Binnenstad-Centrum),"1,395",85,3,16.4
Apartment George Gershwinlaan,1082 MT Amsterdam (Zuidas),"4,150",187,3,22.2
Apartment Middelharnisstraat,3086 GG Rotterdam (Pendrecht),890,67,3,13.3
Apartment Boeimeerhof,4818 RL Breda (Boeimeer),"2,000",124,3,16.1
House Guirlande,2496 WV Den Haag (Bosweide),"3,250",160,6,20.3
Apartment Florastate,5644 BV Eindhoven (Eikenburg),"1,950",100,2,19.5
House Titaniastraat,5702 HJ Helmond (Eeuwsels),"1,550",132,5,11.7
Apartment Van Foreestweg,2614 CC Delft (Kuyperwijk-Zuid),795,66,4,12.0
Apartment Nadorststeeg,1012 KE Amsterdam (Burgwallen-Oude Zijde),"4,500",156,3,28.8
Apartment Reguliersgracht 93 B,1017 LN Amsterdam (De Weteringschans),"3,900",130,3,30.0
House Appeldijk,4201 AE Gorinchem (Bovenstad),"1,400",75,3,18.7
Apartment Haverkamp 176,2592 BL Den Haag (Kampen),935,85,3,11.0
Apartment Hoofdweg 367 3,1056 CP Amsterdam (Van Galenbuurt),"1,600",56,2,28.6
Apartment Schoonoordhof,5582 GZ Waalre (Aalst),"1,250",67,3,18.7
Apartment Groenhoven,"1103 LZ Amsterdam (Bijlmer Oost (E,G,K))","2,200",110,4,20.0
House Nunspeetlaan,2573 HA Den Haag (Oostbroek-Noord),"1,050",60,4,17.5
Apartment Appelstraat 72,2564 EH Den Haag (Vruchtenbuurt),"2,000",120,5,16.7
Apartment Abraham Kuyperlaan,3038 PM Rotterdam (Bergpolder),900,81,4,11.1
House Aalmoezenier Roumenstraat,6221 TR Maastricht (Heugemerveld),"1,300",80,5,16.3
Apartment Sint Anna Zusterstraat,3111 PP Schiedam (Brandersbuurt),"1,300",85,3,15.3
Apartment Govert Flinckstraat,1072 EM Amsterdam (Oude Pijp),"3,550",101,3,35.1
House Anubisplantsoen,1363 XM Almere (Homeruskwartier),"1,795",109,5,16.5
Apartment Nieuwstraat,5211 NL Den Bosch (Binnenstad-Centrum),"1,295",70,2,18.5
Apartment Hadewychstraat,5216 KD Den Bosch (Bazeldonk),"1,295",68,3,19.0
Apartment Schuilenburgerweg,3816 TB Amersfoort (Schuilenburg-Zuid),"1,295",100,3,13.0
Apartment Fazantstraat,3083 ZK Rotterdam (Carnisse),985,48,3,20.5
Apartment Witte de Withstraat,2518 CR Den Haag (Zeeheldenkwartier),"1,250",83,3,15.1
Apartment Porporastraat,8031 HS Zwolle (Holtenbroek II),"1,090",55,2,19.8
Apartment Van den Endelaan,2182 EV Hillegom (Leidsestraat),"1,195",80,3,14.9
House Scholiersberg,4611 SW Bergen op Zoom (Centrum),"1,100",65,3,16.9
Apartment Nieuwe Kerkstraat,1018 EB Amsterdam (Weesperbuurt/Plantage),"1,999",80,2,25.0
House Hugo de Grootkade,1052 LS Amsterdam (Frederik Hendrikbuurt),"2,349",85,4,27.6
House Asselsestraat,7311 EL Apeldoorn (Binnenstad),"1,150",101,4,11.4
Apartment Tjerk Hiddesstraat 22,2041 JN Zandvoort (Boulevard Noord),"1,500",46,3,32.6
Apartment Leeghwaterkade 52,2521 DZ Den Haag (Laakhaven-Oost),"1,800",122,3,14.8
Apartment Sprinklerstraat,1019 VR Amsterdam (Indische Buurt Oost),"2,650",94,3,28.2
House De Kota Baroestraat,4381 NX Vlissingen (Scheldekwartier),"1,075",119,5,9.0
House De Kota Baroestraat,4381 NX Vlissingen (Scheldekwartier),"1,050",119,5,8.8
Apartment Jacob Gillesstraat,2582 XZ Den Haag (Statenkwartier),"1,995",140,4,14.3
Apartment Russischestraat,3028 BD Rotterdam (Oud Mathenesse),"1,750",93,3,18.8
Apartment Mathenesserlaan,3021 HH Rotterdam (Middelland),"2,395",135,4,17.7
Apartment Tugelastraat 46,2021 TD Haarlem (Generaalsbuurt),"1,195",40,2,29.9
Apartment Valkenboskade,2563 HH Den Haag (Heesterbuurt),"1,750",99,4,17.7
Apartment Loosduinsekade,2571 BP Den Haag (Schildersbuurt-West),995,68,3,14.6
Apartment Reguliersdwarsstraat,1017 BM Amsterdam (Grachtengordel-Zuid),"3,100",97,3,32.0
Apartment Blaak,3011 GB Rotterdam (Stadsdriehoek),"1,750",70,3,25.0
House Kalverkamp,3831 PR Leusden ('t Ruige Veld),"1,750",122,4,14.3
Studio Perosistraat,5049 LM Tilburg (Stokhasselt Noord-Oost),690,20,1,34.5
House Ida Gerhardtstraat,2162 KN Lisse (Vrouwenpolder),"1,450",116,6,12.5
Apartment Minervalaan,1077 PK Amsterdam (Apollobuurt),"4,500",140,4,32.1
Apartment Singel 25 F,1012 VC Amsterdam (Burgwallen-Nieuwe Zijde),"3,250",120,3,27.1
House Kerkstraat,6901 AA Zevenaar (Centrum),"1,195",121,5,9.9
House De Kota Baroestraat,4381 NX Vlissingen (Scheldekwartier),"1,150",119,5,9.7
Apartment Straatweg 60 b 02,3051 BH Rotterdam (Hillegersberg Zuid),"1,249",74,4,16.9
Apartment Soestdijksekade,2574 AB Den Haag (Leyenburg),"1,375",86,4,16.0
House Hulshorststraat,2573 EC Den Haag (Oostbroek-Zuid),"1,075",60,3,17.9
Apartment Henri Goovaertsweg,6212 BX Maastricht (Villapark),"1,795",110,3,16.3
Apartment Neuweg,1211 LV Hilversum (Centrum),"1,300",60,2,21.7
Apartment Goudsewagenstraat,3011 RK Rotterdam (Stadsdriehoek),"1,275",40,2,31.9
Apartment Wisselstraat 30,3551 WG Utrecht (2e Daalsebuurt en omgeving),"1,650",48,2,34.4
House Valckslootlaan,2181 TR Hillegom (Oranjebuurt),"1,550",135,5,11.5
House Asterstraat,8012 EC Zwolle (Nieuw-Assendorp),995,253,1,3.9
Apartment Stoopstraat,4702 SR Roosendaal (Kalsdonk),770,65,2,11.8
Apartment Korte Niezel 2 C,1012 EA Amsterdam (Burgwallen-Oude Zijde),"1,400",90,2,15.6
House Meerhovendreef,5658 HA Eindhoven (Grasrijk),"2,500",189,2,13.2
House Ravelijn,2141 NH Vijfhuizen (Vijfhuizen Stellinghof),"1,900",137,5,13.9
Apartment Nieuwenoord,3079 LJ Rotterdam (Groot IJsselmonde),"1,295",70,3,18.5
Apartment Goudsewagenstraat,3011 RH Rotterdam (Stadsdriehoek),"1,795",87,5,20.6
House Schiphollaan,5042 TN Tilburg (Luchthavenbuurt Oost),"1,350",74,4,18.2
House Rijksstraatweg,3634 AL Loenersloot (Poldergebied Loenersloot),"3,450",289,8,11.9
Apartment Belgischeplein 26,2587 AR Den Haag (Belgisch Park),"1,800",119,3,15.1
Apartment Oude Haven 5,2271 DB Voorburg (Voorburg Oud zuid),"1,950",122,3,16.0
House Stedekestraat,5041 DN Tilburg (Theresia Midden),"1,450",95,4,15.3
House Weverstedehof,3431 HR Nieuwegein (Stadscentrum),900,60,2,15.0
Apartment Markt 25 A III,2611 GP Delft (Centrum),820,40,2,20.5
House Overburgkade,2275 XX Voorburg (Voorburg West noord),"2,850",158,5,18.0
House J.J. Allanstraat 264,1551 RS Westzaan (J.J. Allanbuurt),"1,950",132,5,14.8
Apartment Hazelaarlaan 19,1185 RP Amstelveen (Populierenbuurt),"1,650",80,3,20.6
Apartment Badhuiskade,1031 KV Amsterdam (Noordelijke IJ-oevers West),"2,300",78,3,29.5
House Jan van den Bergstraat 77,2101 XB Heemstede (Centrum),"2,950",118,6,25.0
Apartment Waldeck Pyrmontkade,2518 RR Den Haag (Zeeheldenkwartier),"1,750",80,3,21.9
House Scholekster 15,1399 KS Muiderberg (Buitendijken Muiderberg),"1,650",95,5,17.4
Apartment Wandelweg 108 C,1521 AK Wormerveer (Wormerveer Zuid),875,35,2,25.0
Apartment Dokter Stavermanstraat,4382 LE Vlissingen (Stadhuisplein e.o.),650,55,2,11.8
House Haverkamp 57,2592 AW Den Haag (Kampen),"2,000",100,4,20.0
Room 1e Middellandstraat,3021 BG Rotterdam (Middelland),750,16,1,46.9
Apartment Johannes Calvijnlaan 88,1185 BN Amstelveen (Van der Leekbuurt),"1,850",96,4,19.3
Apartment Herengracht 193 B,1016 BE Amsterdam (Grachtengordel-West),"3,450",100,3,34.5
Apartment Heiligeweg 34 A,1561 DK Krommenie (Noorderhoofdbuurt),"1,437",95,3,15.1
Apartment Stationsstraat 67,5701 MK Helmond (Stationsgebied),948,68,2,13.9
Studio Berlijnplein,3541 CM Utrecht (Leidsche Rijn-Centrum),633,30,1,21.1
Apartment Witte de Withstraat,2518 CR Den Haag (Zeeheldenkwartier),"1,250",83,3,15.1
House Dennenstraat 8,2023 WT Haarlem (Kweektuinbuurt),"2,500",130,5,19.2
Apartment Frittemaleane 1 23,8605 CH Sneek (Omgeving Leeuwarderweg en bungalowpark),995,95,3,10.5
Apartment tt. Vasumweg,1033 SC Amsterdam (Noordelijke IJ-oevers West),"1,750",103,3,17.0
Apartment Branderijstraat,5223 AS Den Bosch (Paleiskwartier),"1,000",80,2,12.5
Apartment Lübeckstraat 89,2517 SN Den Haag (Stadhoudersplantsoen),"1,600",102,3,15.7
House Jutfaseweg,3522 HL Utrecht (Rivierenwijk),"2,350",144,7,16.3
Apartment Sint Annadal,6214 PB Maastricht (Mariaberg),"1,050",95,2,11.1
Apartment Rijkebuurtstraat,4611 GZ Bergen op Zoom (Havenkwartier),950,65,3,14.6
Apartment Vollenhoveschans,1324 HT Almere (Stedenwijk),"1,400",84,3,16.7
Apartment Onacklaan 238,2909 VB Capelle aan den IJssel (Capelsebrug),"1,355",91,3,14.9
Apartment Brouwersgracht,1013 HC Amsterdam (Haarlemmerbuurt),"1,750",85,2,20.6
Apartment Louis Davidsstraat 407,2551 EL Den Haag (Waldeck-Zuid),"1,650",115,4,14.3
House Ganzestraat,4451 DV Heinkenszand (Kern Heinkenszand),"1,250",110,5,11.4
Apartment Looiersgracht,1016 VS Amsterdam (Jordaan),"2,100",64,2,32.8
Apartment Graaf Karellaan,3434 DT Nieuwegein (Graven en Gravinnen),"1,046",57,2,18.4
Apartment Fongersplaats,9725 LC Groningen (Rivierenbuurt),"1,195",100,1,12.0
House Boeimeerhof,4818 RL Breda (Boeimeer),"2,600",170,9,15.3
House Stuwweg,6219 NB Maastricht (Boschpoort),"3,250",180,5,18.1
Apartment Aan de Weverij,6291 KJ Vaals (Vaals),"1,350",68,2,19.9
Apartment Doelenstraat,7607 AJ Almelo (Binnenstad Noord),850,50,2,17.0
Apartment Hobeinstraat,4381 PC Vlissingen (Scheldestraat e.o.),715,60,2,11.9
Apartment Burgemeester Hoffmanstraat 17 D,3071 XP Rotterdam (Noordereiland),"1,300",47,2,27.7
House Bastion,8223 GK Lelystad (Bastion),"1,495",131,6,11.4
Apartment Henk Zonstraat,3056 PR Rotterdam (Terbregge),"1,920",110,3,17.5
House Clematislaan,2241 JC Wassenaar (Groot Deijleroord en Ter Weer),"2,250",127,6,17.7
Apartment De Kaai,9723 LD Groningen (Kop van Oost),900,37,2,24.3
House Middelweg 6,2498 ZC Den Haag (De Bras),"3,500",185,6,18.9
Apartment Gravestraat,2242 HZ Wassenaar (De Paauw),"2,750",140,3,19.6
Apartment Walenburgerweg,3033 AE Rotterdam (Provenierswijk),"1,600",60,3,26.7
House Frans van Waesberghestraat,4561 AC Hulst (Binnenstad),740,110,4,6.7
Apartment Wisselstraat 30,3551 WG Utrecht (2e Daalsebuurt en omgeving),"1,650",48,2,34.4
Apartment Groenhazengracht,2311 VT Leiden (Academiewijk),"1,835",90,4,20.4
Apartment Rembrandtkade 188,2282 XD Rijswijk (Rembrandtkwartier),"1,550",65,3,23.8
Apartment Moddermanlaan 39,9721 GL Groningen (Helpman),"1,295",60,2,21.6
Apartment Ennemaborg,1082 ST Amsterdam (Buitenveldert-West),"1,800",100,4,18.0
Apartment Pomonaplein,2564 XP Den Haag (Vruchtenbuurt),"1,400",115,4,12.2
Apartment Hengelolaan 207 C,2545 JJ Den Haag (Morgenstond-West),"1,150",100,4,11.5
Apartment Nathaliegang,2719 CS Zoetermeer (Rokkeveen-West),"1,295",80,4,16.2
Apartment Goeverneurkade,2274 KJ Voorburg (Voorburg Midden zuid),"1,395",80,4,17.4
House Hillekensacker 1721,6546 KR Nijmegen ('t Acker),"1,875",100,3,18.8
Apartment Johannes Calvijnlaan,1185 BL Amstelveen (Augustinuspark),"2,000",110,3,18.2
Apartment Witte de Withstraat 1 B,3012 BK Rotterdam (Cool),"1,350",75,3,18.0
Apartment Antwerpsestraat,4611 AG Bergen op Zoom (Centrum),895,60,2,14.9
Apartment Antwerpsestraat,4611 AG Bergen op Zoom (Centrum),850,45,2,18.9
Apartment van Coothplein,4811 NE Breda (Chassé),"2,600",120,6,21.7
Room Pannesheiderstraat,6462 EC Kerkrade (Bleijerheide),285,20,1,14.3
Apartment Lang Grachtje,6211 JG Maastricht (Jekerkwartier),"1,500",70,2,21.4
Apartment Koningin Julianaplein,2264 BH Leidschendam (Raadhuiskwartier),"1,795",74,4,24.3
House Augustusstraat,1335 DS Almere (Seizoenenbuurt),"1,750",120,5,14.6
House Snelliuslaan,1222 TE Hilversum (Johannes Geradtswegbuurt),"5,950",225,6,26.4
Apartment Volderhof,5611 AK Eindhoven (Binnenstad),"1,400",65,3,21.5
Apartment Antwerpsestraat,4611 AG Bergen op Zoom (Centrum),895,60,2,14.9
Apartment Antwerpsestraat,4611 AG Bergen op Zoom (Centrum),895,60,2,14.9
House Professorenlaantje,3571 JX Utrecht (Tuindorp en Van Lieflandlaan-West),"1,650",115,4,14.3
Room Mergelweg,6212 NJ Maastricht (Sint Pieter),875,40,1,21.9
Apartment IJsclubstraat,3061 GS Rotterdam (Kralingen West),"1,295",72,2,18.0
Apartment Banningstraat,5025 TS Tilburg (Schrijversbuurt),665,45,2,14.8
Apartment Singelbuurt,1448 LC Purmerend (Europa),"1,375",47,2,29.3
House Prinses Margrietplantsoen,1403 SX Bussum (Midden Eng-West),"1,650",134,4,12.3
Apartment Nieuwstraat 66,6431 KV Hoensbroek (Hoensbroek-Centrum),850,65,4,13.1
House Reviuslaan,4707 AP Roosendaal (Kroeven-Noordwest),"1,350",103,5,13.1
Apartment Valkenboslaan 247,2563 CW Den Haag (Valkenboskwartier),"1,500",87,4,17.2
Apartment Porporastraat,8031 HS Zwolle (Holtenbroek II),"1,090",55,2,19.8
House Jaagpad,1059 BN Amsterdam (Hoofddorppleinbuurt),"3,600",160,3,22.5
Apartment Valkenboslaan 247,2563 CW Den Haag (Valkenboskwartier),"1,500",87,4,17.2
Apartment Wilhelminastraat,2411 CZ Bodegraven (Centrum-Zuid),"1,045",65,2,16.1
Room Sloetstraat 122 102,6821 CZ Arnhem (Graaf Ottoplein e.o.),225,11,1,20.5
Apartment Julianalaan,3116 JW Schiedam (Schildersbuurt),"1,250",66,3,18.9
Apartment Mgr. Zwijsenstraat,4812 TD Breda (Heuvel),"1,350",80,4,16.9
House Oudegracht,3511 AT Utrecht (Breedstraat en Plompetorengracht en omgeving),"1,000",60,2,16.7
Apartment Dracht,8442 BP Heerenveen (Centrum),820,45,2,18.2
Apartment Oost Havenstraat 15,2312 MA Leiden (Havenwijk-Noord),"1,300",54,3,24.1
Apartment Hoog Buurlostraat 77,2573 HW Den Haag (Oostbroek-Noord),"1,095",67,3,16.3
Apartment Jan Pieterszoon Coenstraat,3531 ET Utrecht (Lombok-West),"1,295",60,2,21.6
Apartment Prinsegracht 47,2512 EW Den Haag (Kortenbos),"1,850",115,3,16.1
Apartment Thorbeckelaan,2564 BH Den Haag (Eykenduinen),"1,795",134,5,13.4
Apartment Spechtlaan 379,2261 BK Leidschendam (De Zijde),"1,165",102,4,11.4
Apartment Lange Herenvest 110,2011 BW Haarlem (Burgwal),"1,300",75,3,17.3
Apartment Bentincklaan,3039 KJ Rotterdam (Blijdorp),"2,150",124,5,17.3
House Reigerskamp,3607 JR Maarssen (Reigerskamp),"1,998",125,5,16.0
House Nienhuis Ruijskade 37,1399 KA Muiderberg (Buitendijken Muiderberg),"2,100",121,6,17.4
Apartment Keizer Karelweg,1181 RD Amstelveen (Elsrijk West),"1,825",84,3,21.7
Apartment Polderlaan,3074 MH Rotterdam (Hillesluis),470,27,1,17.4
Apartment Oeverwal,6221 EN Maastricht (Wyck),"1,495",60,2,24.9
Apartment Pierre van Hauwelaan 478,2625 WL Delft (Het Rode Dorp),"1,150",51,1,22.5
Apartment Pierre van Hauwelaan 446,2625 WL Delft (Het Rode Dorp),"1,150",51,1,22.5
Apartment Mr. Troelstralaan,1181 VG Amstelveen (Elsrijk West),"2,050",100,3,20.5
House Mecklenburgstraat,"5616 AP Eindhoven (Eliasterrein, Vonderkwartier)","2,100",120,5,17.5
Apartment Adamshofstraat,3061 ZB Rotterdam (Kralingen West),"1,895",90,3,21.1
House Generaal de la Reijlaan,1404 BP Bussum (Raadhuisplein),800,60,2,13.3
Apartment Laurierstraat 105,1016 PL Amsterdam (Jordaan),"3,600",120,4,30.0
Apartment Maliebaan 71 2,3581 CG Utrecht (Buiten Wittevrouwen),"1,765",65,2,27.2
House Raadhuislaan 5 B,2242 CR Wassenaar (De Paauw),"4,950",415,1,11.9
Apartment H. Kamerlingh Onnesstraat 118,3331 EL Zwijndrecht (Corridor-West),"1,350",80,3,16.9
Apartment Admiraal De Ruijterweg,1056 GM Amsterdam (Geuzenbuurt),"1,800",77,3,23.4
Apartment Witte de Withstraat,2518 CR Den Haag (Zeeheldenkwartier),"1,250",83,3,15.1
Apartment Sandenburg,2036 PJ Haarlem (De Burgen),"1,250",61,2,20.5
Apartment Kenau Hasselaarstraat,4382 AS Vlissingen (Vredehof Zuid),"1,350",95,4,14.2
Apartment Lijnbaansgracht,1016 VX Amsterdam (Jordaan),"7,500",178,2,42.1
Apartment Utrechtsestraat 60 II,1017 VP Amsterdam (Grachtengordel-Zuid),"2,000",75,3,26.7
Apartment Hoofdstraat 9 1,7311 JS Apeldoorn (Binnenstad),572,26,1,22.0
House Oostelijk Halfrond 98,1183 GC Amstelveen (Zeestratenbuurt),"3,800",180,7,21.1
Apartment Westerdijk 4 0504,3513 EW Utrecht (Pijlsweerd-Zuid),"1,250",41,2,30.5
Apartment Gerard Brandtstraat 6 C1,1054 JJ Amsterdam (Helmersbuurt),"1,645",64,3,25.7
Apartment Noordeinde 62 B,2514 GK Den Haag (Voorhout),"2,250",147,3,15.3
Apartment Hoofdstraat 54 C,6461 CS Kerkrade (Kerkrade-Centrum),790,77,2,10.3
Apartment Witte de Withstraat,2518 CT Den Haag (Zeeheldenkwartier),"1,550",87,3,17.8
Apartment Bornsestraat,7607 KP Almelo (Hofkamp West),"1,275",100,4,12.8
House Bloesemstraat,3581 XC Utrecht (Oudwijk),"1,750",90,3,19.4
Apartment Bornsestraat,7607 KP Almelo (Hofkamp West),"1,275",103,3,12.4
Apartment Isaäc Hubertstraat,3034 CT Rotterdam (Oud Crooswijk),"1,100",65,2,16.9
Apartment Beverweg,4817 LK Breda (Brabantpark),"1,195",85,3,14.1
House Prinsengracht 475,1016 HP Amsterdam (Grachtengordel-West),"2,250",60,3,37.5
Apartment Mauritsstraat,3012 CJ Rotterdam (Cool),975,49,2,19.9
Room Korenbloemstraat,7552 HH Hengelo (Anninks-/Nijhofshoek),260,25,1,10.4
Room Gerststraat,7552 DV Hengelo (Anninks-/Nijhofshoek),260,25,1,10.4
Apartment Aart van der Leeuwkade 124,2274 LD Voorburg (Voorburg Midden midden),"1,400",76,3,18.4
Apartment Schuitenzand,9931 AM Delfzijl (Zandplatenbuurt),250,85,3,2.9
Apartment Boschstraat,6211 AZ Maastricht (Statenkwartier),"2,000",113,5,17.7
Apartment Hellingstraat,1033 WW Amsterdam (Noordelijke IJ-oevers West),"2,750",88,3,31.3
Room Esrein,7553 CX Hengelo (Tuindorp 't Lansink),260,25,1,10.4
House Paardestraat,6131 HB Sittard (Sittard-Centrum),595,18,1,33.1
House Paardestraat,6131 HB Sittard (Sittard-Centrum),595,18,1,33.1
House Paardestraat,6131 HB Sittard (Sittard-Centrum),595,17,1,35.0
House Paardestraat,6131 HB Sittard (Sittard-Centrum),595,17,1,35.0
House Paardestraat,6131 HB Sittard (Sittard-Centrum),595,16,1,37.2
Apartment Wisselstraat 30,3551 WG Utrecht (2e Daalsebuurt en omgeving),"1,650",48,2,34.4
Apartment Groenhazengracht,2311 VT Leiden (Academiewijk),"1,835",90,4,20.4
Apartment Kortenaerstraat,3012 VB Rotterdam (Cool),"1,700",88,2,19.3
Apartment Philips Willemstraat,3051 PP Rotterdam (Hillegersberg Zuid),"1,500",91,4,16.5
Apartment Leyweg,2545 HA Den Haag (Morgenstond-Zuid),"1,345",105,3,12.8
House Paardestraat,6131 HB Sittard (Sittard-Centrum),595,18,1,33.1
Apartment St. Canisiussingel,6511 TE Nijmegen (Stadscentrum),"1,800",100,3,18.0
House Kerklaan,3227 AN Oudenhoorn (Kern Oudenhoorn),"1,750",112,5,15.6
Apartment Papaverstraat,4621 HR Bergen op Zoom (Gageldonk-West),"1,195",104,2,11.5
Apartment Bernard de Wildestraat,4827 EH Breda (Geeren-noord),"1,400",75,2,18.7
House Berkenstraat,8924 BZ Leeuwarden (Schieringen),"1,250",84,5,14.9
Apartment Timorstraat,2022 RE Haarlem (Medanbuurt),"1,295",60,2,21.6
Apartment Postelse Hoeflaan,5042 KN Tilburg (Tiendschuur),"1,250",70,3,17.9
Apartment Renswoudelaan,2546 XE Den Haag (Leyenburg),"1,295",76,4,17.0
Apartment Engelsestraat 91,2627 AA Delft (Delftzicht),"1,175",90,3,13.1
Apartment Korhaanstraat,3083 XE Rotterdam (Carnisse),"1,000",60,3,16.7
Apartment Kritostraat,3076 BH Rotterdam (Lombardijen),"1,600",70,1,22.9
House Papiermolen 42,2906 RC Capelle aan den IJssel (Molenbuurt),"1,700",117,5,14.5
Apartment Witte de Withstraat 3 C,1057 XD Amsterdam (Chassébuurt),"2,500",80,3,31.3
Apartment Stationsplein 16 31,6131 AT Sittard (Sittard-Centrum),860,93,3,9.2
Apartment Arnhemsepoort 116,6851 AA Huissen (Oude Stad Huissen),"1,325",96,3,13.8
Apartment Betuwestraat,6811 MA Arnhem (Utrechtsestraat),"1,400",50,1,28.0
Apartment Oude Delft 73,2611 BC Delft (Centrum-Zuidwest),"2,750",160,3,17.2
Apartment Citadel,1315 VR Almere (Centrum Almere Stad),"2,995",121,4,24.8
Apartment Bloemgracht,1015 TH Amsterdam (Jordaan),"2,450",75,3,32.7
Studio Veldhovenring 44 08,5041 BC Tilburg (Theresia Midden),679,24,1,28.3
Room Oldegalileën,8922 AD Leeuwarden (Oldegalileën),500,20,1,25.0
Apartment Krooswijkhof,1082 PB Amsterdam (Buitenveldert-Oost),"3,500",135,4,25.9
Apartment Middenstraat,1381 XC Weesp (Centrum),850,45,2,18.9
House Jacobus Verhoeflaan,1412 EN Naarden (Ministerpark),"2,400",131,6,18.3
Apartment Waterloostraat,3062 TL Rotterdam (Kralingen Oost),"1,175",50,2,23.5
Apartment Beemsterboerstraat 11 b,1271 SE Huizen (De Noord),"2,200",111,3,19.8
Apartment Witte de Withstraat,2518 CR Den Haag (Zeeheldenkwartier),"1,250",83,3,15.1
Apartment Admiraal De Ruijterweg,1056 GM Amsterdam (Geuzenbuurt),"1,800",77,3,23.4
Apartment Koornmarkt 64 B,2611 EJ Delft (Centrum),"2,500",170,3,14.7
Apartment Koetsierbaan,1315 SN Almere (Centrum Almere Stad),"2,300",113,1,20.4
Apartment Damsterdiep,9711 SL Groningen (Binnenstad-Oost),"1,550",55,2,28.2
Apartment Lambertusstraat,3062 XA Rotterdam (Kralingen Oost),"1,495",103,3,14.5
Apartment Gustav Mahlerlaan 529 C,1082 MK Amsterdam (Zuidas),"2,350",100,3,23.5
Apartment Nieuwstraat,1381 BD Weesp (Centrum),"1,750",92,4,19.0
Apartment Korvelseweg,5025 JH Tilburg (Trouwlaan),"1,315",68,3,19.3
Apartment Galjootstraat 12 B,3028 VL Rotterdam (Oud Mathenesse),"1,075",55,3,19.5
Apartment Spaarndammerplantsoen 5,1013 XP Amsterdam (Spaarndammer- en Zeeheldenbuurt),"2,450",110,4,22.3
Room Oerlesestraat,5025 DD Tilburg (Afrikaanderbuurt Midden),350,13,2,26.9
Apartment Nieuwstraat,5521 CD Eersel (Eersel-kom en Lindeakkers),"1,500",119,4,12.6
House Dr. Zamenhofstraat 57 E,3061 SE Rotterdam (Kralingen West),"1,350",80,2,16.9
Apartment Van Lansbergestraat,2593 RZ Den Haag (Bezuidenhout-Oost),"1,350",90,4,15.0
Apartment Looierstraat 65,6271 BA Gulpen (Gulpen),795,60,2,13.3
House Molenaarshof 2,6417 SB Heerlen (Douve Weien),"1,235",131,5,9.4
Apartment Bakenessergracht 10 D,2011 JW Haarlem (Bakenes),"2,195",95,4,23.1
Apartment Tweede Straatje van Best,5211 XL Den Bosch (Binnenstad-Centrum),"1,360",109,3,12.5
Apartment Fabriekstraat 6,5038 EN Tilburg (Binnenstad West),930,32,2,29.1
Apartment Kesselskade,6211 EN Maastricht (Binnenstad),"2,950",155,8,19.0
Apartment Noordeinde 19 N,2514 GB Den Haag (Voorhout),"3,500",235,6,14.9
Apartment Korvelseweg,5025 JH Tilburg (Trouwlaan),"1,210",52,3,23.3
Apartment Korvelseweg,5025 JH Tilburg (Trouwlaan),"1,250",55,2,22.7
Apartment Korvelseweg,5025 JH Tilburg (Trouwlaan),"1,210",52,2,23.3
Apartment Korvelseweg,5025 JH Tilburg (Trouwlaan),"1,250",52,2,24.0
House Bladgroen 44,2718 EE Zoetermeer (Rokkeveen-Oost),"1,595",101,5,15.8
Apartment Verboomstraat 104 A,3082 JR Rotterdam (Oud Charlois),"1,300",105,3,12.4
Apartment Eerste Straatje van Best,5211 XH Den Bosch (Binnenstad-Centrum),"1,260",87,2,14.5
Apartment Keetwaltje,8921 EV Leeuwarden (Welgelegen),760,44,1,17.3
Apartment Porporastraat,8031 HS Zwolle (Holtenbroek II),"1,090",55,2,19.8
Studio van Swietenstraat 6,8911 AL Leeuwarden (Stationskwartier),605,25,1,24.2
Apartment Wisselstraat 30,3551 WG Utrecht (2e Daalsebuurt en omgeving),"1,650",48,2,34.4
Apartment Noorderhavenkade 56 B03,3038 XK Rotterdam (Bergpolder),"1,750",80,2,21.9
Apartment Kerkhovensestraat,5061 PJ Oisterwijk (Omgeving Industrieterrein Kerckhoven Laarakkers),800,40,2,20.0
House Frederik van Eedenplein,5611 KT Eindhoven (Bergen),"3,900",650,8,6.0
Apartment Jozef Israëlsplein,2596 AS Den Haag (Nassaubuurt),"1,050",60,2,17.5
Apartment Jozef Israëlsplein,2596 AS Den Haag (Nassaubuurt),795,55,1,14.5
House Menno ter Braakstraat,1321 BN Almere (Literatuurwijk),"1,999",184,8,10.9
Apartment Koestraat,2312 XJ Leiden (Marewijk),"1,300",65,3,20.0
Apartment Potgieterstraat 18 4,1053 XW Amsterdam (Da Costabuurt),"2,250",80,3,28.1
House Mgr. Horsthuisstraat,4813 XM Breda (Tuinzigt),"2,250",100,6,22.5
Apartment Jacques Urlusstraat,2551 HB Den Haag (Nieuw Waldeck),"1,000",45,2,22.2
House Moerkapellestraat,5045 LE Tilburg (Leeuwerik Midden),"1,250",90,5,13.9
Apartment Kerkstraat 168,6441 BJ Brunssum (Centrum),800,75,4,10.7
Apartment Rooseveltlaan,4624 DD Bergen op Zoom (Warande-West),690,33,2,20.9
Apartment Berghofstraat,6471 EL Eygelshoven (Eygelshoven-Kom),699,75,4,9.3
Apartment Abtstraat,6211 LS Maastricht (Kommelkwartier),"2,425",240,5,10.1
Apartment Helperpark 342,9723 ZX Groningen (Europapark),"1,025",70,3,14.6
